decision_time,signal_time,signal,side,entry_time,entry_price,exit_time,exit_price,units,allocation_usd,gross_pnl,fee_usd,slippage_usd,net_pnl,capital_after,median_pred,low_pred,high_pred,median_ret,low_ret,high_ret,p_pos,predict_on_returns,exit_reason
2025-08-15 10:00:00,2025-08-07 23:00:00,STRONG_SELL,SHORT,2025-08-15 11:00:00,118879.82,2025-08-15 13:00:00,118645.06142857143,0.0007363416485826704,87.53616264201112,0.17286251350463427,0.1748994627705176,0.0874497313852588,-0.08948668065114213,972.534542675028,116526.81839018932,116526.81839018932,116526.81839018932,-0.019793194605095592,-0.019793194605095592,-0.019793194605095592,0.0,False,trailing_sl
2025-08-15 11:00:00,2025-08-07 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,972.534542675028,117829.4806928773,117829.4806928773,117829.4806928773,-0.009886301600420783,-0.009886301600420783,-0.009886301600420783,0.0,False,none
2025-08-15 12:00:00,2025-08-07 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,972.534542675028,118544.86911483706,118544.86911483706,118544.86911483706,-0.0008747750304381628,-0.0008747750304381628,-0.0008747750304381628,0.0,False,none
2025-08-15 13:00:00,2025-08-07 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,972.534542675028,118075.52517587449,118075.52517587449,118075.52517587449,0.002590166702848535,0.002590166702848535,0.002590166702848535,0.0,False,none
2025-08-15 14:00:00,2025-08-07 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,972.534542675028,118544.86911483706,118544.86911483706,118544.86911483706,0.009751866395545624,0.009751866395545624,0.009751866395545624,0.0,False,none
2025-08-15 15:00:00,2025-08-07 23:00:00,STRONG_SELL,SHORT,2025-08-15 16:00:00,117275.23,2025-08-15 17:00:00,117840.43714285715,0.0007463477909252662,87.52810884075251,-0.4218411024866158,0.17547805878399164,0.08773902939199582,-0.6850581906626033,971.8494844843653,115146.06566162605,115146.06566162605,115146.06566162605,-0.018155193726125163,-0.018155193726125163,-0.018155193726125163,0.0,False,trailing_sl
2025-08-15 16:00:00,2025-08-07 23:00:00,STRONG_BUY,LONG,2025-08-15 17:00:00,117353.36,2025-08-15 21:00:00,117320.02,0.000745325516061857,87.46645360359288,-0.02484915270549971,0.1749080580544803,0.08745402902724014,-0.28721123978722013,971.5622732445781,118544.86911483706,118544.86911483706,118544.86911483706,0.010153174266480786,0.010153174266480786,0.010153174266480786,1.0,False,time_exit
2025-08-15 17:00:00,2025-08-07 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,971.5622732445781,118427.81058769976,118427.81058769976,118427.81058769976,0.00715122555892917,0.00715122555892917,0.00715122555892917,0.0,False,none
2025-08-15 18:00:00,2025-08-07 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,971.5622732445781,113623.58895257548,113623.58895257548,113623.58895257548,-0.030181643130617893,-0.030181643130617893,-0.030181643130617893,0.0,False,none
2025-08-15 19:00:00,2025-08-07 23:00:00,HOLD,NONE,,,,,0.0,0.0,0.0,0.0,0.0,0.0,971.5622732445781,118437.38961621476,118437.38961621476,118437.38961621476,0.012837074555351847,0.012837074555351847,0.012837074555351847,1.0,False,none
